question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,The puritan colonists were searching for religious freedom when they came to Boston.,0.8081809878349304
Which military historian criticized the French system as being defective?,Dallas Irvine,Frank McLynn,0.8074538707733154
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Officer Training School (OTS),0.8698614239692688
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,"The process being considered in Arizona that allows copper to be recovered is called ""copper leaching.""",0.8435027599334717
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,Beyoncé sold one million digital copies of her fifth album in six days.,0.8318241238594055
How do linguists view Catalan and Valencian?,as the same language,"Linguists view Catalan and Valencian as two varieties of the same language, often referred to collectively as Catalan.",0.8319486975669861
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,"In Navajo, the aspiration of affricates can be seen as a phonemic distinction.",0.8666114211082458
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,People sought piano lessons from Chopin in London.,0.8638595342636108
What group did Sciarra belong to?,Spectre,"The provided context does not contain any information about a person named Sciarra or the group they belong to. Therefore, I cannot provide an answer to that question.",0.7991396188735962
What kind of linguistic choices does Catalan have?,unique,"Catalan has linguistic choices that include vowel reduction, where unstressed vowels reduce to three distinct sounds, and the presence of Arabic loanwords that contrast with Latin-origin words.",0.809755802154541
What organ secretes chymotrypsin?,the pancreas,The pancreas secretes chymotrypsin.,0.8857406377792358
In what area of Alaska was Camp Hollywood located?,Northwest,"The provided context does not contain information about Camp Hollywood or its location in Alaska. Therefore, I cannot provide an answer to that question.",0.8080668449401855
Pope Paul VI had no cap on what?,the number of cardinals generally,Pope Paul VI had no cap on the number of cardinals he could appoint.,0.8640083074569702
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Rajagrha,0.9999998807907104
When were the ten bells cast?,1971,The ten bells were cast in 1887.,0.8260859847068787
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,"Yongle Emperor failed to build a solid relationship with the fifth Karmapa, Deshin Shekpa.",0.8637592792510986
