context,question,answer,topic_lda,generated_answer,bert_f1
"Posterior segment intraocular inflammation (PSII) is a putative Th1 CD4+ cell mediated autoimmune disorder. In experimental autoimmune uveoretinitis, neutralization of tumor necrosis factor (TNF)-alpha induces suppression of Th1 cells, macrophage activation, and target organ damage. Previous studies implicated an efficacy of anti-TNFalpha therapies in patients with PSII. This study investigated the immunomodulatory effect of anti-TNFalpha therapy to find predictors of effective immunosuppression in PSII. Fifteen patients with PSII refractory to conventional immunosuppressive therapy received a single infusion of a recombinant protein generated by fusing the p55 TNFalpha receptor with human IgG1. During 17 treatment periods, visual acuity (logarithm of the minimum angle of resolution [logMAR]) was monitored as a response criterion. Phenotype markers of CD4+ T cells were analyzed before and 2, 4, and 12 weeks after therapy. Expression of intracellular cytokines (interferon [IFN]-gamma, interleukin [IL]-10, and TNFalpha) and Th1/Th2-specific chemokine receptors (CXCR3, CCR4, and CCR5) on peripheral blood CD4+ T cells was determined using flow cytometry. The fraction of IL-10-expressing CD4+ T cells was increased during 12 of 17 treatment periods within 2 weeks after treatment. During eight treatment periods, this increase was associated with an improvement of visual acuity of at least 0.2 logMAR within 4 weeks (P = 0.029). The ratio between IL-10- and IFNgamma-expressing CD4+ T cells was significantly increased 2 weeks after therapy (P = 0.015). There was no significant change of CXCR3, CCR4, or CCR5 expression.",Does anti-TNFalpha therapy modulate the phenotype of peripheral blood CD4+ T cells in patients with posterior segment intraocular inflammation?,"Neutralizing TNFalpha activity in PSII increases the fraction of peripheral blood CD4+ T cells expressing IL-10, which correlates with a recovery of visual function.",0,"Yes, anti-TNFalpha therapy modulates the phenotype of peripheral blood CD4+ T cells in patients with posterior segment intraocular inflammation, as evidenced by an increase in the fraction of IL-10-expressing CD4+ T cells and a significant increase in the ratio of IL-10- to IFN-gamma-expressing CD4+ T cells after therapy.",0.7294914722442627
"In mast cell (MC) neoplasms, clinical problems requiring therapy include local aggressive and sometimes devastating growth of MCs and mediator-related symptoms. A key mediator of MCs responsible for clinical symptoms is histamine. Therefore, use of histamine receptor (HR) antagonists is an established approach to block histamine effects in these patients. We screened for additional beneficial effects of HR antagonists and asked whether any of these agents would also exert growth-inhibitory effects on primary neoplastic MCs, the human MC line HMC-1, and on two canine MC lines, C2 and NI-1. We found that the HR1 antagonists terfenadine and loratadine suppress spontaneous growth of HMC-1, C2, and NI-1 cells, as well as growth of primary neoplastic MCs in all donors tested (human patients, n = 5; canine patients, n = 8). The effects of both drugs were found to be dose-dependent (IC(50): terfenadine, 1-20 μM; loratadine, 10-50 μM). Both agents also produced apoptosis in neoplastic MCs and augmented apoptosis-inducing effects of two KIT-targeting drugs, PKC412 and dasatinib. The other HR1 antagonists (fexofenadine, diphenhydramine) and HR2 antagonists (famotidine, cimetidine, ranitidine) tested did not exert substantial growth-inhibitory effects on neoplastic MCs. None of the histamine receptor blockers were found to modulate cell-cycle progression in neoplastic MCs.",Do h1-receptor antagonists terfenadine and loratadine inhibit spontaneous growth of neoplastic mast cells?,"The HR1 antagonists terfenadine and loratadine, in addition to their antimediator activity, exert in vitro growth-inhibitory effects on neoplastic MCs. Whether these drugs (terfenadine) alone, or in combination with KIT inhibitors, can also affect in vivo neoplastic MC growth remains to be determined.",0,"Yes, H1-receptor antagonists terfenadine and loratadine inhibit spontaneous growth of neoplastic mast cells.",0.7411747574806213
"The genetic architecture of obesity is multifactorial. We have previously identified a quantitative trait locus (QTL) on rat chromosome 10 in a F2 cross of Wistar Ottawa Karlsburg (WOKW) and Dark Agouti (DA) rats responsible for obesity-related traits. The QTL was confirmed in congenic DA.WOKW10 rats. To pinpoint the region carrying causal genes, we established two new subcongenic lines, L1 and L2, with smaller refined segments of chromosome 10 to identify novel candidate genes. All lines were extensively characterized under different diet conditions. We employed transcriptome analysis in visceral adipose tissue (VAT) by RNA-Seq technology to identify potential underlying genes in the segregating regions. Three candidate genes were measured in human paired samples of VAT and subcutaneous (SC) AT (SAT) (N=304) individuals with a wide range of body weight and glucose homeostasis parameters. DA.WOKW and L1 subcongenic lines were protected against body fat gain under high-fat diet (HFD), whereas L2 and DA had significantly more body fat after high-fat feeding. Interestingly, adipocyte size distribution in SAT and epigonadal AT of L1 subcongenic rats did not undergo typical ballooning under HFD and the number of preadipocytes in AT was significantly elevated in L2 compared with L1 and parental rats. Transcriptome analysis identified three candidate genes in VAT on rat chromosome 10. In humans, these candidate genes were differentially expressed between SAT and VAT. Moreover, HID1 mRNA significantly correlates with parameters of obesity and glucose metabolism.","Are novel genes on rat chromosome 10 linked to body fat mass , preadipocyte number and adipocyte size?","Our data suggest novel candidate genes for obesity that map on rat chromosome 10 in an interval 102.2-104.7 Mb and are strongly associated with body fat mass regulation, preadipocyte number and adipocyte size in rats. Among those genes, AT head involution defective (HID1) mRNA expression may be relevant for human fat distribution and glucose homeostasis.",0,"Yes, novel genes on rat chromosome 10 are linked to body fat mass, preadipocyte number, and adipocyte size, as indicated by the findings in the study involving subcongenic lines and transcriptome analysis.",0.7135961055755615
"The adult heart possesses a pool of progenitor cells stored in myocardial niches, but the mechanisms involved in the activation of this cell compartment are currently unknown. Ca2+ promotes cell growth raising the possibility that changes in intracellular Ca2+ initiate division of c-kit-positive human cardiac progenitor cells (hCPCs) and determine their fate. Ca2+ oscillations were identified in hCPCs and these events occurred independently from coupling with cardiomyocytes or the presence of extracellular Ca2+. These findings were confirmed in the heart of transgenic mice in which enhanced green fluorescent protein was under the control of the c-kit promoter. Ca2+ oscillations in hCPCs were regulated by the release of Ca2+ from the endoplasmic reticulum through activation of inositol 1,4,5-triphosphate receptors (IP3Rs) and the reuptake of Ca2+ by the sarco-/endoplasmic reticulum Ca2+ pump (SERCA). IP3Rs and SERCA were highly expressed in hCPCs, whereas ryanodine receptors were not detected. Although Na+-Ca2+ exchanger, store-operated Ca2+ channels and plasma membrane Ca2+ pump were present and functional in hCPCs, they had no direct effects on Ca2+ oscillations. Conversely, Ca2+ oscillations and their frequency markedly increased with ATP and histamine which activated purinoceptors and histamine-1 receptors highly expressed in hCPCs. Importantly, Ca2+ oscillations in hCPCs were coupled with the entry of cells into the cell cycle and 5-bromodeoxyuridine incorporation. Induction of Ca2+ oscillations in hCPCs before their intramyocardial delivery to infarcted hearts was associated with enhanced engraftment and expansion of these cells promoting the generation of a large myocyte progeny.",Do spontaneous calcium oscillations regulate human cardiac progenitor cell growth?,IP3R-mediated Ca2+ mobilization control hCPC growth and their regenerative potential.,0,"Yes, spontaneous calcium oscillations regulate human cardiac progenitor cell growth by promoting cell cycle entry and division.",0.6945708394050598
"mTOR inhibitors are currently used as immunosuppressants in transplanted patients and as promising anti-cancer agents. However, new-onset diabetes is a frequent complication occurring in patients treated with mTOR inhibitors such as rapamycin (Sirolimus). Here, we investigated the mechanisms associated with the diabetogenic effects of chronic Sirolimus administration in rats and in in vitro cell cultures. Sirolimus was administered to rats fed either a standard or high-fat diet for 21 days. Metabolic parameters were measured in vivo and in ex vivo tissues. Insulin sensitivity was assessed by glucose tolerance tests and euglycaemic hyperinsulinaemic clamps. Rapamycin effects on glucose metabolism and insulin signalling were further evaluated in cultured myotubes. Sirolimus induced a decrease in food intake and concomitant weight loss. It also induced specific fat mass loss that was independent of changes in food intake. Despite these beneficial effects, Sirolimus-treated rats were glucose intolerant, hyperinsulinaemic and hyperglycaemic, but not hyperlipidaemic. The euglycaemic hyperinsulinaemic clamp measurements showed skeletal muscle is a major site of Sirolimus-induced insulin resistance. At the molecular level, long-term Sirolimus administration attenuated glucose uptake and metabolism in skeletal muscle by preventing full insulin-induced Akt activation and altering the expression and translocation of glucose transporters to the plasma membrane. In rats fed a high-fat diet, these metabolic defects were exacerbated, although Sirolimus-treated animals were protected from diet-induced obesity.",Does chronic mTOR inhibition by rapamycin induce muscle insulin resistance despite weight loss in rats?,"Taken together, our data demonstrate that the diabetogenic effect of chronic rapamycin administration is due to an impaired insulin action on glucose metabolism in skeletal muscles.",0,"Yes, chronic mTOR inhibition by rapamycin induces muscle insulin resistance despite weight loss in rats.",0.6939436793327332
"Fibroblast-like synoviocytes (FLS) are a major constituent of the hyperplastic synovial pannus that aggressively invades cartilage and bone during the course of rheumatoid arthritis (RA). Fractalkine (FKN/CX(3)CL1) expression is up-regulated in RA synovium and RA synovial fluid. While RA FLS express the FKN receptor, CX(3)CR1, the pathophysiologic relevance of FKN stimulation of RA FLS is not understood. This study was undertaken to better characterize the relationship between FKN and the RA FLS that both produce it and express its receptor. RA FLS were subjected to chemotaxis and proliferation assays, Western blotting, enzyme-linked immunosorbent assays, and filamentous actin staining to characterize the relationship between FKN and RA FLS. FKN secretion by RA FLS was regulated mainly by tumor necrosis factor alpha. Stimulation of RA FLS with FKN led to significant cytoskeletal rearrangement but no proliferation. Chemotaxis assays revealed that FKN was a novel chemoattractant for RA FLS. Stimulation of RA FLS with FKN resulted in activation of MAP kinases and Akt. JNK, ERK-1/2, and Akt (at both Ser-473 and Thr-308) were each up-regulated in a time-dependent manner. Inhibition of ERK-1/2-mediated signaling, but not JNK or Akt, significantly repressed FKN-induced RA FLS migration.",Is fractalkine a novel chemoattractant for rheumatoid arthritis fibroblast-like synoviocyte signaling through MAP kinases and Akt?,"These findings indicate a novel role of FKN in regulating RA FLS cytoskeletal structure and migration. FKN specifically induces RA FLS phosphorylation of the MAP kinases JNK and ERK-1/2, as well as full activation of Akt.",0,"Yes, fractalkine is a novel chemoattractant for rheumatoid arthritis fibroblast-like synoviocytes, signaling through MAP kinases and Akt.",0.5838790535926819
"Sleep disturbance is common during critical illness, yet little is known about its prevalence or role in post-discharge quality of life among high-risk acute lung injury (ALI) patients. In a prospective cohort of 61 mechanically ventilated ALI patients, we examined the association between insomnia symptoms and quality of life six months after discharge. Subjects completed surveys rating quality of life (MOS SF-36), post-traumatic stress disorder (PCL), and depression (PHQ-9). Using an individual item from the PCL, we defined insomnia symptoms as moderate or greater trouble falling or staying asleep in the past month. We performed multivariable linear regression to examine the association between insomnia symptoms and SF-36 physical and mental component summary scores, adjusting for PTSD and depression. Forty subjects (85% of eligible) completed six-month questionnaires; 20 (50%) met criteria for insomnia symptoms. After adjustment for PTSD and depression, insomnia symptoms remained significantly associated with worse physical component summary scores (adjusted mean difference=-8.8; 95% CI: -15.0, -2.5; P<0.01).",Are post-discharge insomnia symptoms associated with quality of life impairment among survivors of acute lung injury?,"Post-discharge insomnia symptoms were common and significantly associated with physical quality of life impairment among six-month ALI survivors, even after adjustment for PTSD and depression symptoms. Further studies are needed to validate these results and to characterize sleep disturbance after ALI using sleep-specific metrics.",0,"Yes, post-discharge insomnia symptoms are associated with quality of life impairment among survivors of acute lung injury, as insomnia symptoms were significantly linked to worse physical component summary scores in a study of mechanically ventilated ALI patients.",0.7225099205970764
"Hyperbaric oxygen (HBO) improves skin flap function and inhibits partial necrosis induced by ischemia-reperfusion (I/R) injury. Our study aimed to evaluate the mechanism underlying HBO regulation of the antiapoptosis factors associated with I/R injury of skin flaps. The rats were divided into sham surgery, I/R, and HBO groups. Rats from the HBO group received HBO preconditioning followed by I/R surgery. Blood perfusion of the skin flaps was measured with laser Doppler flowmeters. Tissue morphology and apoptosis were subsequently assessed based on hematoxylin-eosinhe and terminal deoxynucleotidyl transferase dUTP nick-end labeling staining. Protein expression of phosphorylated apoptosis signal-regulating kinase 1 (pASK-1), phosphorylated c-Jun N-terminal kinase (pJNK), B-cell lymphoma-2 (Bcl-2), and Bcl2-associated X protein (Bax) was examined by immunodetection, and Bcl-2 messenger RNA expression was detected by quantitative polymerase chain reaction. In addition, caspase-3 activity was also measured. The result of microcirculation analysis showed that the survival and blood perfusion rates significantly increased in the skin flap after HBO exposure. Terminal deoxynucleotidyl transferase dUTP nick-end labeling staining revealed that cell apoptosis was significantly attenuated in the HBO group. Furthermore, HBO preconditioning increased the expression of Bcl-2 and inhibited pASK-1, pJNK, and Bax expression as determined by both immunohistochemistry and Western blot. Caspase-3 activity and the Bax/Bcl-2 ratio declined in the HBO group.",Does hyperbaric oxygen preconditioning inhibit skin flap apoptosis in a rat ischemia-reperfusion model?,HBO preconditioning effectively ameliorates I/R injury by regulating the apoptosis signal-regulating kinase 1 and/or c-Jun N-terminal kinase pathway and anti- and proapoptosis factors.,0,"Yes, hyperbaric oxygen preconditioning inhibits skin flap apoptosis in a rat ischemia-reperfusion model.",0.6225820779800415
"Endotoxemia stimulates amino acid consumption by the liver, but the regulation of this response is poorly understood. We studied the effect of Escherichia coli endotoxin (lipopolysaccharide) on hepatic carrier-mediated plasma membrane amino acid transport and the role of the cytokine tumor necrosis factor-alpha (TNF) in regulating this transport activity. We investigated the activities of the Na(+)-dependent amino acid transport systems A, ASC, and N in hepatic plasma membrane vesicles prepared from rats treated with endotoxin in vivo. Vesicle purity and functionality were evaluated by assaying marker enzymes and by the presence of classic overshoots. Endotoxin treatment did not alter sodium transport but resulted in time- and dose-dependent 6-fold (system A), 3.5-fold (system N), and 3-fold (system ASC) increases in transport activity secondary to an increase in carrier maximum velocity. Lipopolysaccharide treatment did not alter transporter affinity or plasma membrane sodium transport. Transport activity increased within 2 hours of endotoxin administration, peaked at 4 hours after exposure to lipopolysaccharide, and returned to basal levels within 24 hours. Pretreatment of animals with an anti-TNF monoclonal antibody diminished the endotoxin-induced enhancement in transport activity by 50% to 75% by decreasing carrier maximum velocity. In contrast, when the antibody was given after endotoxin challenge, transport activity was not attenuated.",Does antibody to tumor necrosis factor attenuate endotoxin-stimulated amino acid transport in rat liver?,"The marked acceleration in hepatic amino acid uptake that occurs during endotoxemia is secondary to an increased Na(+)-dependent hepatocyte plasma membrane transport activity and is mediated, in large part, by the cytokine TNF.",0,"Yes, pretreatment with an anti-TNF monoclonal antibody diminished the endotoxin-induced enhancement in amino acid transport activity by 50% to 75%.",0.6505115628242493
"Intense resistance exercise causes mechanical loading of skeletal muscle, followed by muscle adaptation. Chemotactic factors likely play an important role in these processes. We investigated the time course of changes in the expression and tissue localization of several key chemotactic factors in skeletal muscle during the early phase of recovery following resistance exercise. Muscle biopsy samples were obtained from vastus lateralis of eight untrained men (22 ± 0.5 years) before and 2, 4 and 24 h after three sets of leg press, squat and leg extension at 80 % 1-RM. Monocyte chemotactic protein-1 (95×), interleukin-8 (2,300×), IL-6 (317×), urokinase-type plasminogen activator (15×), vascular endothelial growth factor (2×) and fractalkine (2.5×) mRNA was significantly elevated 2 h post-exercise. Interleukin-8 (38×) and interleukin-6 (58×) protein was also significantly elevated 2 h post-exercise, while monocyte chemotactic protein-1 protein was significantly elevated at 2 h (22×) and 4 h (21×) post-exercise. Monocyte chemotactic protein-1 and interleukin-8 were expressed by cells residing in the interstitial space between muscle fibers and, in some cases, were co-localized with CD68 + macrophages, PAX7 + satellite cells and blood vessels. However, the patterns of staining were inconclusive and not consistent.",Does acute resistance exercise increase the expression of chemotactic factors within skeletal muscle?,"In conclusion, resistance exercise stimulated a marked increase in the mRNA and protein expression of various chemotactic factors in skeletal muscle. Myofibers were not the dominant source of these factors. These findings suggest that chemotactic factors regulate remodeling/adaptation of skeletal muscle during the early phase of recovery following resistance exercise.",0,"Yes, acute resistance exercise increases the expression of chemotactic factors within skeletal muscle, as evidenced by significant elevations in monocyte chemotactic protein-1, interleukin-8, and interleukin-6 mRNA and protein levels shortly after exercise.",0.7040818929672241
