context,question,answers,topic_lda,question_class,generated_answer,bert_f1
"Under these complex circumstances regional names are less useful. They are more historical than an accurate gauge of operations. The Directorate of Intelligence, one of four directorates into which the CIA is divided, includes the Office of Near Eastern and South Asian Analysis (NESA). Its duties are defined as ""support on Middle Eastern and North African countries, as well as on the South Asian nations of India, Pakistan, and Afghanistan."" The total range of countries is in fact the same as the State Department's Near East, but the names do not correspond. The Near East of the NESA is the same as the Middle East defined in the CIA-published on-line resource, The World Factbook. Its list of countries is limited by the Red Sea, comprises the entire eastern coast of the Mediterranean, including Israel, Turkey, the small nations of the Caucasus, Iran and the states of the Arabian Peninsula.",What does NESA stand for?,Near Eastern and South Asian Analysis,0,ABBR,Near East South Asia Center for Strategic Studies,0.848274290561676
"When Emperor Haile Selassie unilaterally dissolved the Eritrean parliament and annexed the country in 1962, the Eritrean Liberation Front (ELF) waged an armed struggle for independence. The ensuing Eritrean War for Independence went on for 30 years against successive Ethiopian governments until 1991, when the Eritrean People's Liberation Front (EPLF), a successor of the ELF, defeated the Ethiopian forces in Eritrea and helped a coalition of Ethiopian rebel forces take control of the Ethiopian Capital Addis Ababa.",What does the acroynm ELF stand for?,Eritrean Liberation Front,0,ABBR,Eritrean Liberation Front,1.0
"A combined UN civilian and peace-keeping force called UNTAG (United Nations Transition Assistance Group) under Finnish diplomat Martti Ahtisaari was deployed from April 1989 to March 1990 to monitor the peace process, elections and supervise military withdrawals. As UNTAG began to deploy peacekeepers, military observers, police, and political workers, hostilities were briefly renewed on the day the transition process was supposed to begin. After a new round of negotiations, a second date was set and the elections process began in earnest. After the return of SWAPO exiles (over 46,000 exiles), Namibia's first one-person one-vote elections for the constitutional assembly took place in November 1989. The official election slogan was ""Free and Fair Elections"". This was won by SWAPO although it did not gain the two-thirds majority it had hoped for; the South African-backed Democratic Turnhalle Alliance (DTA) became the official opposition. The elections were peaceful and declared free and fair.",What does UNTAG stand for?,United Nations Transition Assistance Group,0,ABBR,Universal Network Targeting and Guidance,0.8067377209663391
"Criminal justice agencies in England and Wales use at least two separate racial/ethnic classification systems when reporting crime, as of 2010. One is the system used in the 2001 Census when individuals identify themselves as belonging to a particular ethnic group: W1 (White-British), W2 (White-Irish), W9 (Any other white background); M1 (White and black Caribbean), M2 (White and black African), M3 (White and Asian), M9 (Any other mixed background); A1 (Asian-Indian), A2 (Asian-Pakistani), A3 (Asian-Bangladeshi), A9 (Any other Asian background); B1 (Black Caribbean), B2 (Black African), B3 (Any other black background); O1 (Chinese), O9 (Any other). The other is categories used by the police when they visually identify someone as belonging to an ethnic group, e.g. at the time of a stop and search or an arrest: White – North European (IC1), White – South European (IC2), Black (IC3), Asian (IC4), Chinese, Japanese, or South East Asian (IC5), Middle Eastern (IC6), and Unknown (IC0). ""IC"" stands for ""Identification Code;"" these items are also referred to as Phoenix classifications. Officers are instructed to ""record the response that has been given"" even if the person gives an answer which may be incorrect; their own perception of the person's ethnic background is recorded separately. Comparability of the information being recorded by officers was brought into question by the Office for National Statistics (ONS) in September 2007, as part of its Equality Data Review; one problem cited was the number of reports that contained an ethnicity of ""Not Stated.""",What does IC stand for?,Identification Code,0,ABBR,Integrated Circuit,0.8262355923652649
"At present, the full name of the government of Nanjing is ""People's Government of Nanjing City"" and the city is under the one-party rule of the CPC, with the CPC Nanjing Committee Secretary as the de facto governor of the city and the mayor as the executive head of the government working under the secretary.",What is the full name for Nanjing's government?,"""People's Government of Nanjing City""",0,ABBR,People's Government of Nanjing City,0.9395778775215149
"It is a fully developed legal system, with all the necessary elements: courts, lawyers, judges, a fully articulated legal code principles of legal interpretation, and coercive penalties, though it lacks civilly-binding force in most secular jurisdictions. The academic degrees in canon law are the J.C.B. (Juris Canonici Baccalaureatus, Bachelor of Canon Law, normally taken as a graduate degree), J.C.L. (Juris Canonici Licentiatus, Licentiate of Canon Law) and the J.C.D. (Juris Canonici Doctor, Doctor of Canon Law). Because of its specialized nature, advanced degrees in civil law or theology are normal prerequisites for the study of canon law.",What does J.C.B. stand for?,Juris Canonici Baccalaureatus,0,ABBR,Juris Canonici Baccalaureatus,1.0000001192092896
"Proponents of affirmative action argue that by nature the system is not only race based, but also class and gender based. To eliminate two of its key components would undermine the purpose of the entire system. The African American Policy Forum believes that the class based argument is based on the idea that non-poor minorities do not experience racial and gender based discrimination. The AAPF believes that ""Race-conscious affirmative action remains necessary to address race-based obstacles that block the path to success of countless people of color of all classes"". The groups goes on to say that affirmative action is responsible for creating the African American middle class, so it does not make sense to say that the system only benefits the middle and upper classes.",What does the AAPF believe the foundation for the class based argument is?,non-poor minorities do not experience racial and gender based discrimination,0,DESC,Non-poor minorities not experiencing discrimination,0.9527345299720764
"The Cardinal Camerlengo of the Holy Roman Church, assisted by the Vice-Camerlengo and the other prelates of the office known as the Apostolic Camera, has functions that in essence are limited to a period of sede vacante of the papacy. He is to collate information about the financial situation of all administrations dependent on the Holy See and present the results to the College of Cardinals, as they gather for the papal conclave.","In the time between electing new popes, what is the duty of the cardinal?",collate information about the financial situation of all administrations dependent on the Holy See and present the results to the College of Cardinals,0,DESC,Govern the Holy See,0.8635656237602234
"The Legislature is composed of the Senate and the House of Representatives. The House, led by a speaker, has 73 members apportioned among the 15 counties on the basis of the national census, with each county receiving a minimum of two members. Each House member represents an electoral district within a county as drawn by the National Elections Commission and is elected by a plurality of the popular vote of their district into a six-year term. The Senate is made up of two senators from each county for a total of 30 senators. Senators serve nine-year terms and are elected at-large by a plurality of the popular vote. The vice president serves as the President of the Senate, with a President pro tempore serving in their absence.",What are the 73 members of the house are appropriated among? ,the 15 counties on the basis of the national census,0,DESC,Counties,0.8148344159126282
"Orthodox Christianity includes a large number of traditions regarding the Ever Virgin Mary, the Theotokos. The Orthodox believe that she was and remained a virgin before and after Christ's birth. The Theotokia (i.e., hymns to the Theotokos) are an essential part of the Divine Services in the Eastern Church and their positioning within the liturgical sequence effectively places the Theotokos in the most prominent place after Christ. Within the Orthodox tradition, the order of the saints begins with: The Theotokos, Angels, Prophets, Apostles, Fathers, Martyrs, etc. giving the Virgin Mary precedence over the angels. She is also proclaimed as the ""Lady of the Angels"".",What are hymns to the Theotokos called in Orthodox tradition?,The Theotokia,0,DESC,Theotokia,0.8432303071022034
"Religious Jews have Minhagim, customs, in addition to Halakha, or religious law, and different interpretations of law. Different groups of religious Jews in different geographic areas historically adopted different customs and interpretations. On certain issues, Orthodox Jews are required to follow the customs of their ancestors, and do not believe they have the option of picking and choosing. For this reason, observant Jews at times find it important for religious reasons to ascertain who their household's religious ancestors are in order to know what customs their household should follow. These times include, for example, when two Jews of different ethnic background marry, when a non-Jew converts to Judaism and determines what customs to follow for the first time, or when a lapsed or less observant Jew returns to traditional Judaism and must determine what was done in his or her family's past. In this sense, ""Ashkenazic"" refers both to a family ancestry and to a body of customs binding on Jews of that ancestry. Reform Judaism, which does not necessarily follow those minhagim, did nonetheless originate among Ashkenazi Jews.","For religious Jews, what does Halakha mean?",religious law,0,DESC,Jewish law,0.9944978952407837
