question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,The Puritan colonists were searching for a better theological community with a government more closely linked to the church.,0.8066424131393433
Which military historian criticized the French system as being defective?,Dallas Irvine,Dallas Irvine,1.0000001192092896
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Air Force Reserve Officer Training Corps (AFROTC) program.,0.8944262266159058
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,In-situ leach process,0.9986679553985596
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,One million digital copies.,0.9090811014175415
How do linguists view Catalan and Valencian?,as the same language,Linguists view Catalan and Valencian as the same language.,0.8607073426246643
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,An extended length of the frication.,0.9865856170654297
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,People sought piano lessons from Chopin in London.,0.8638595342636108
What group did Sciarra belong to?,Spectre,Sciarra belonged to the szlachta.,0.7993384003639221
What kind of linguistic choices does Catalan have?,unique,"Catalan has complex verbal inflection, with omnipresent suffixation, active vowel alternances, infixation, and suppletion, although these are less productive than in Spanish.",0.7994431853294373
What organ secretes chymotrypsin?,the pancreas,Pancreas,0.8824864029884338
In what area of Alaska was Camp Hollywood located?,Northwest,Northwest Alaska,0.8810709118843079
Pope Paul VI had no cap on what?,the number of cardinals generally,Pope Paul VI had no cap on the number of bishops from all continents integrated into the government of the Church and the Synods he convened.,0.8427645564079285
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Rajagrha,0.9999998807907104
When were the ten bells cast?,1971,The ten bells were cast in 1971.,0.825873076915741
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,"Deshin Shekpa, the Karmapa of the Karma Kagyu school.",0.8484848141670227
