question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,Religious freedom,0.8338821530342102
Which military historian criticized the French system as being defective?,Dallas Irvine,John Keegan,0.8105073571205139
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,ROTC,0.8072943091392517
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,Copper leaching,0.8592674136161804
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,Not provided,0.8723612427711487
How do linguists view Catalan and Valencian?,as the same language,Dialectal variations,0.8056588172912598
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,Phonemic contrast,0.8385801315307617
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,Piano lessons,0.9996839165687561
What group did Sciarra belong to?,Spectre,Baroque,0.8213071823120117
What kind of linguistic choices does Catalan have?,unique,Dialectal variation,0.812109649181366
What organ secretes chymotrypsin?,the pancreas,Pancreas,0.8824864625930786
In what area of Alaska was Camp Hollywood located?,Northwest,Not provided.,0.8743658661842346
Pope Paul VI had no cap on what?,the number of cardinals generally,Papal authority,0.8254784345626831
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Bihar,0.8442813158035278
When were the ten bells cast?,1971,2008,0.9997506737709045
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,Hongwu Emperor,0.8162482380867004
