context,question,answers,topic_lda,question_class,query,token_query,token_query_full_prompt,total_token_size,Recall@k,MRR,nDCG@k,transformation_latency,retrieval_generation_latency,total_latency,generated_answer,gpt_score
"Meanwhile, Andreas Papandreou founded the Panhellenic Socialist Movement (PASOK) in response to Karamanlis's conservative New Democracy party, with the two political formations alternating in government ever since. Greece rejoined NATO in 1980. Greece became the tenth member of the European Communities (subsequently subsumed by the European Union) on 1 January 1981, ushering in a period of sustained growth. Widespread investments in industrial enterprises and heavy infrastructure, as well as funds from the European Union and growing revenues from tourism, shipping and a fast-growing service sector raised the country's standard of living to unprecedented levels. Traditionally strained relations with neighbouring Turkey improved when successive earthquakes hit both nations in 1999, leading to the lifting of the Greek veto against Turkey's bid for EU membership.",What does PASOK stand for?,Panhellenic Socialist Movement,0,ABBR,PASOK stand,3.0,1640.0,1645,0.0,0.0,0.0,2.075646162033081,0.958209753036499,3.9997198581695557,Panhellenic Socialist Movement,1.0
"When Emperor Haile Selassie unilaterally dissolved the Eritrean parliament and annexed the country in 1962, the Eritrean Liberation Front (ELF) waged an armed struggle for independence. The ensuing Eritrean War for Independence went on for 30 years against successive Ethiopian governments until 1991, when the Eritrean People's Liberation Front (EPLF), a successor of the ELF, defeated the Ethiopian forces in Eritrea and helped a coalition of Ethiopian rebel forces take control of the Ethiopian Capital Addis Ababa.",What is the acronym for Eritrean People's Liberation Front?,EPLF,0,ABBR,Eritrean s Liberation Front,6.0,1144.0,1147,1.0,1.0,1.0,1.2185444831848145,0.9644262790679932,3.073943853378296,EPLF,1.0
"Gorbachev's inability to alleviate any of Armenia's problems created disillusionment among the Armenians and fed a growing hunger for independence. In May 1990, the New Armenian Army (NAA) was established, serving as a defence force separate from the Soviet Red Army. Clashes soon broke out between the NAA and Soviet Internal Security Forces (MVD) troops based in Yerevan when Armenians decided to commemorate the establishment of the 1918 First Republic of Armenia. The violence resulted in the deaths of five Armenians killed in a shootout with the MVD at the railway station. Witnesses there claimed that the MVD used excessive force and that they had instigated the fighting.",What does NAA stand for?,New Armenian Army,0,ABBR,NAA stand,3.0,1044.0,1046,0.0,0.0,0.0,1.2228045463562012,0.9154632091522217,3.0840160846710205,Not applicable,0.0
"In December 1943, President Roosevelt decided that Eisenhower – not Marshall – would be Supreme Allied Commander in Europe. The following month, he resumed command of ETOUSA and the following month was officially designated as the Supreme Allied Commander of the Allied Expeditionary Force (SHAEF), serving in a dual role until the end of hostilities in Europe in May 1945. He was charged in these positions with planning and carrying out the Allied assault on the coast of Normandy in June 1944 under the code name Operation Overlord, the liberation of Western Europe and the invasion of Germany.",What did SHAEF stand for?,Supreme Allied Commander of the Allied Expeditionary Force,0,ABBR,SHAEF stand,3.0,1041.0,1048,0.0,0.0,0.0,1.2069706916809082,1.3880226612091064,3.5326855182647705,Supreme Headquarters Allied Expeditionary Force,0.5
"The term air defence was probably first used by Britain when Air Defence of Great Britain (ADGB) was created as a Royal Air Force command in 1925. However, arrangements in the UK were also called 'anti-aircraft', abbreviated as AA, a term that remained in general use into the 1950s. After the First World War it was sometimes prefixed by 'Light' or 'Heavy' (LAA or HAA) to classify a type of gun or unit. Nicknames for anti-aircraft guns include AA, AAA or triple-A, an abbreviation of anti-aircraft artillery; ""ack-ack"" (from the spelling alphabet used by the British for voice transmission of ""AA""); and archie (a World War I British term probably coined by Amyas Borton and believed to derive via the Royal Flying Corps from the music-hall comedian George Robey's line ""Archibald, certainly not!"").",What does ADGB stand for?,Air Defence of Great Britain,0,ABBR,ADGB stand,3.0,1074.0,1079,1.0,0.5,0.6309297535714575,1.2162742614746094,0.9112706184387207,3.0833466053009033,Air Defence of Great Britain,1.0
"The majority of the citizens of the Marshall Islands are of Marshallese descent, though there are small numbers of immigrants from the United States, China, Philippines and other Pacific islands. The two official languages are Marshallese, which is a member of the Malayo-Polynesian languages, and English. Almost the entire population of the islands practises some religion, with three-quarters of the country either following the United Church of Christ – Congregational in the Marshall Islands (UCCCMI) or the Assemblies of God.",What does UCCCMI stand for?,United Church of Christ – Congregational in the Marshall Islands,0,ABBR,UCCCMI stand,5.0,1138.0,1140,0.0,0.0,0.0,1.2234666347503662,0.9830236434936523,3.2877185344696045,Not specified,0.0
"In late 1952 Eisenhower went to Korea and discovered a military and political stalemate. Once in office, when the Chinese began a buildup in the Kaesong sanctuary, he threatened to use nuclear force if an armistice was not concluded. His earlier military reputation in Europe was effective with the Chinese. The National Security Council, the Joint Chiefs of Staff, and the Strategic Air Command (SAC) devised detailed plans for nuclear war against China. With the death of Stalin in early March 1953, Russian support for a Chinese hard-line weakened and China decided to compromise on the prisoner issue.",What was SAC an abbreviation of?,Strategic Air Command,0,ABBR,was SAC abbreviation,3.0,1138.0,1142,0.0,0.0,0.0,1.3067748546600342,0.9152393341064453,3.154491662979126,Strategic Air Command,1.0
"After 1937 the Lord Mayor and the state commissioners of Hanover were members of the NSDAP (Nazi party). A large Jewish population then existed in Hanover. In October 1938, 484 Hanoverian Jews of Polish origin were expelled to Poland, including the Grynszpan family. However, Poland refused to accept them, leaving them stranded at the border with thousands of other Polish-Jewish deportees, fed only intermittently by the Polish Red Cross and Jewish welfare organisations. The Gryszpan's son Herschel Grynszpan was in Paris at the time. When he learned of what was happening, he drove to the German embassy in Paris and shot the German diplomat Eduard Ernst vom Rath, who died shortly afterwards.",What does the NSDAP stand for?,Nazi party,0,ABBR,NSDAP stand,3.0,850.0,856,0.0,0.0,0.0,1.2484147548675537,1.0224342346191406,3.6646487712860107,National Socialist German Workers' Party,0.8
"In its first century and half, the EIC used a few hundred soldiers as guards. The great expansion came after 1750, when it had 3000 regular troops. By 1763, it had 26,000; by 1778, it had 67,000. It recruited largely Indian troops, and trained them along European lines. The company, fresh from a colossal victory, and with the backing of its own private well-disciplined and experienced army, was able to assert its interests in the Carnatic region from its base at Madras and in Bengal from Calcutta, without facing any further obstacles from other colonial powers.",what is the acronym for the East india company?,EIC,0,ABBR,acronym East india company,6.0,1299.0,1301,1.0,0.14285714285714285,0.3333333333333333,1.569908857345581,0.9735887050628662,3.4870386123657227,EIC,1.0
"By 59 BC an unofficial political alliance known as the First Triumvirate was formed between Gaius Julius Caesar, Marcus Licinius Crassus, and Gnaeus Pompeius Magnus (""Pompey the Great"") to share power and influence. In 53 BC, Crassus launched a Roman invasion of the Parthian Empire (modern Iraq and Iran). After initial successes, he marched his army deep into the desert; but here his army was cut off deep in enemy territory, surrounded and slaughtered at the Battle of Carrhae in which Crassus himself perished. The death of Crassus removed some of the balance in the Triumvirate and, consequently, Caesar and Pompey began to move apart. While Caesar was fighting in Gaul, Pompey proceeded with a legislative agenda for Rome that revealed that he was at best ambivalent towards Caesar and perhaps now covertly allied with Caesar's political enemies. In 51 BC, some Roman senators demanded that Caesar not be permitted to stand for consul unless he turned over control of his armies to the state, which would have left Caesar defenceless before his enemies. Caesar chose civil war over laying down his command and facing trial.",What did the senators request of Caesar in order for him to stand for consul?,turned over control of his armies to the state,0,ABBR,senators request Caesar stand for consul,7.0,1462.0,1466,0.0,0.0,0.0,1.2584471702575684,0.9527204036712646,3.1690030097961426,Lay down his arms,0.5
