question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,The Puritan colonists were searching for a better theological community with a government more closely linked to the church.,0.8066424131393433
Which military historian criticized the French system as being defective?,Dallas Irvine,Dallas Irvine,1.0000001192092896
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Air Force Reserve Officer Training Corps (AFROTC) program.,0.8944262266159058
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,In-situ leach process.,0.9826834201812744
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,One million digital copies.,0.9090811014175415
How do linguists view Catalan and Valencian?,as the same language,Linguists view Catalan and Valencian as the same language.,0.8607073426246643
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,An extended length of the frication.,0.9865856170654297
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,People sought piano lessons and private recitals from Chopin in London.,0.8503239750862122
What group did Sciarra belong to?,Spectre,Sciarra belonged to the szlachta.,0.7993384003639221
What kind of linguistic choices does Catalan have?,unique,"Catalan has linguistic choices that reflect marked differences in vocabulary, pronunciation, and grammar compared to Ibero-Romance languages, while showing closer affinities with Occitan and Gallo-Romance languages.",0.7999542355537415
What organ secretes chymotrypsin?,the pancreas,Pancreas,0.8824864029884338
In what area of Alaska was Camp Hollywood located?,Northwest,Northwest Alaska,0.8810709118843079
Pope Paul VI had no cap on what?,the number of cardinals generally,Pope Paul VI had no cap on the number of bishops from around the world who could be integrated into the government of the Church and the Synods he convened.,0.8412523865699768
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Kalinga,0.7998558282852173
When were the ten bells cast?,1971,The ten bells were cast in 1971.,0.825873076915741
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,"Deshin Shekpa, the 5th Karmapa Lama.",0.8533528447151184
