question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,Religious freedom,0.8338821530342102
Which military historian criticized the French system as being defective?,Dallas Irvine,Richard Brooks,0.8457332849502563
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Officer Training School (OTS),0.8698614835739136
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,Copper leaching,0.8592674136161804
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,One million,0.9992613196372986
How do linguists view Catalan and Valencian?,as the same language,Dialectal variations,0.8056588172912598
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,Phonemic,0.8214383721351624
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,Piano lessons,0.9996839165687561
What group did Sciarra belong to?,Spectre,Not provided,0.8780290484428406
What kind of linguistic choices does Catalan have?,unique,Reduction,0.9972006678581238
What organ secretes chymotrypsin?,the pancreas,Pancreas,0.8824864625930786
In what area of Alaska was Camp Hollywood located?,Northwest,Not provided,0.8848313093185425
Pope Paul VI had no cap on what?,the number of cardinals generally,Term limits,0.8576640486717224
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Rajagrha,0.9999998807907104
When were the ten bells cast?,1971,1944,0.9995932579040527
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,Karmapa,0.9474692940711975
