question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,religious freedom,0.02824024297297001
Which military historian criticized the French system as being defective?,Dallas Irvine,David Chandler,0.15091705322265625
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Officer Training School,0.42494073510169983
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,copper leaching,0.1542869210243225
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,one million,0.9999992847442627
How do linguists view Catalan and Valencian?,as the same language,dialects,0.026604043319821358
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,phonemic,-0.06459332257509232
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,piano lessons,0.9999992847442627
What group did Sciarra belong to?,Spectre,6th Fleet Forces Service,-0.29774415493011475
What kind of linguistic choices does Catalan have?,unique,unstressed vowel reduction,-0.1453840732574463
What organ secretes chymotrypsin?,the pancreas,pancreas,0.19488924741744995
In what area of Alaska was Camp Hollywood located?,Northwest,Not provided,0.31761690974235535
Pope Paul VI had no cap on what?,the number of cardinals generally,his ambitions,0.09542188793420792
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Rajagrha,0.9999992847442627
When were the ten bells cast?,1971,1880,0.9864756464958191
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,fifth Karmapa,0.9999996423721313
