question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,The puritan colonists were searching for the opportunity to worship freely and establish a better theological community.,0.8120283484458923
Which military historian criticized the French system as being defective?,Dallas Irvine,Dallas Irvine,1.0000001192092896
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Air Force Reserve Officer Training Corps (AFROTC),0.8968990445137024
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,in-situ leach process,1.000000238418579
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,one million,0.9999998807907104
How do linguists view Catalan and Valencian?,as the same language,Linguists view Catalan and Valencian as the same language.,0.8607073426246643
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,an extended length of the frication,1.0
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,People sought piano lessons from Chopin in London.,0.8638595342636108
What group did Sciarra belong to?,Spectre,szlachta,0.7693002223968506
What kind of linguistic choices does Catalan have?,unique,"Catalan has complex verbal inflection, with omnipresent suffixation, active vowel alternances, infixation, and suppletion, though these are less productive than in Spanish.",0.8002821207046509
What organ secretes chymotrypsin?,the pancreas,pancreas,0.8687819838523865
In what area of Alaska was Camp Hollywood located?,Northwest,Northwest Alaska,0.8810709118843079
Pope Paul VI had no cap on what?,the number of cardinals generally,Pope Paul VI had no cap on his head.,0.8348579406738281
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Rajagrha,0.9999998807907104
When were the ten bells cast?,1971,1971,0.9999997019767761
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,"Deshin Shekpa, the 5th Karmapa Lama",0.844670295715332
