question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,The puritan colonists were searching for religious freedom.,0.8165454864501953
Which military historian criticized the French system as being defective?,Dallas Irvine,The military historian who criticized the French system as being defective is not mentioned in the provided context.,0.8135359883308411
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Officer Training School (OTS),0.8698614239692688
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,"The process being considered in Arizona that allows copper to be recovered is called ""copper leaching.""",0.8435027599334717
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,The provided context does not contain information about the number of digital copies sold of Beyoncé's fifth album in six days.,0.8240019083023071
How do linguists view Catalan and Valencian?,as the same language,Linguists view Catalan and Valencian as two varieties of the same language.,0.8474459052085876
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,a phonemic contrast,0.8690511584281921
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,People sought piano lessons and private recitals from Chopin in London.,0.8503239750862122
What group did Sciarra belong to?,Spectre,Sciarra belonged to the group of composers associated with the Baroque era.,0.8037923574447632
What kind of linguistic choices does Catalan have?,unique,The context provided does not contain information regarding the linguistic choices of Catalan.,0.804246187210083
What organ secretes chymotrypsin?,the pancreas,Pancreas,0.8824864029884338
In what area of Alaska was Camp Hollywood located?,Northwest,The context provided does not contain information about Camp Hollywood or its location in Alaska.,0.8041877746582031
Pope Paul VI had no cap on what?,the number of cardinals generally,Pope Paul VI had no cap on the number of cardinals he could create.,0.8623111248016357
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Vaishali,0.7676004767417908
When were the ten bells cast?,1971,The provided context does not contain information regarding the casting of the ten bells.,0.8114797472953796
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,the fourth Karmapa,0.9406012892723083
