question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,freedom,0.8570241928100586
Which military historian criticized the French system as being defective?,Dallas Irvine,John Keegan,0.8105073571205139
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,ROTC,0.8072943091392517
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,copper leaching,0.8580306768417358
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,,0.0
How do linguists view Catalan and Valencian?,as the same language,Dialectal varieties,0.8082523345947266
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,a phonemic contrast,0.8690511584281921
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,piano lessons,0.9999998807907104
What group did Sciarra belong to?,Spectre,Baroque,0.8213071823120117
What kind of linguistic choices does Catalan have?,unique,Not specified,0.8621978759765625
What organ secretes chymotrypsin?,the pancreas,pancreas,0.8687820434570312
In what area of Alaska was Camp Hollywood located?,Northwest,,0.0
Pope Paul VI had no cap on what?,the number of cardinals generally,population,0.8327935338020325
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Vaishali,0.7676004767417908
When were the ten bells cast?,1971,2008,0.9997506737709045
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,Hongwu Emperor,0.8162482380867004
