question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,Religious freedom,0.8338821530342102
Which military historian criticized the French system as being defective?,Dallas Irvine,Richard Brooks,0.8457332849502563
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,ROTC,0.8072943091392517
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,Copper recovery,0.8334090113639832
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,One million,0.9992613196372986
How do linguists view Catalan and Valencian?,as the same language,Dialectal variation,0.8098781704902649
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,Phonemic,0.8214383721351624
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,Piano lessons,0.9996839165687561
What group did Sciarra belong to?,Spectre,Not provided,0.8780290484428406
What kind of linguistic choices does Catalan have?,unique,Reduction,0.9972006678581238
What organ secretes chymotrypsin?,the pancreas,Pancreas,0.8824864625930786
In what area of Alaska was Camp Hollywood located?,Northwest,Not specified,0.8633748888969421
Pope Paul VI had no cap on what?,the number of cardinals generally,Education,0.8342189788818359
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Rajagrha,0.9999998807907104
When were the ten bells cast?,1971,1881,0.8555914759635925
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,Karmapa,0.9474694132804871
