question,answers,category,generated_answer
What were the puritan colonists searching for when they came to Boston?,fresh water,1,"The Puritan colonists were searching for a better theological community where the government was more closely linked to the church, as well as the opportunity to worship freely and escape religious persecution from the Anglican King of England."
Which military historian criticized the French system as being defective?,Dallas Irvine,1,Military historian Dallas Irvine criticized the French system as being defective.
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,2,Another program that allows officers to become commissioned in the USAF is the Air Force Reserve Officer Training Corps (AFROTC).
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,2,The process being considered in Arizona that allows copper to be recovered is called the in-situ leach process.
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,3,Beyoncé sold one million digital copies of her fifth album in six days.
How do linguists view Catalan and Valencian?,as the same language,3,"Linguists view Catalan and Valencian as the same language, with Valencian scholars and the Valencian Academy of Language recognizing their linguistic unity."
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,4,"In Navajo, the aspiration of affricates can be seen as an extended length of the frication."
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,4,"In addition to hearing him play, people sought piano lessons from Chopin in London."
What group did Sciarra belong to?,Spectre,5,"The provided context does not mention a specific individual named Sciarra or the group to which they belonged. Therefore, it is not possible to answer the question based on the given information."
What kind of linguistic choices does Catalan have?,unique,5,"Catalan exhibits complex verbal inflection with a focus on suffixation, active vowel alternations, infixation, and suppletion, although these are less productive than in Spanish and primarily apply to irregular verbs."
What organ secretes chymotrypsin?,the pancreas,6,The pancreas secretes chymotrypsin.
In what area of Alaska was Camp Hollywood located?,Northwest,6,Camp Hollywood was located in Northwest Alaska.
Pope Paul VI had no cap on what?,the number of cardinals generally,7,Pope Paul VI had no cap on the number of bishops from around the world who could be integrated into the government of the Church and participate in the Synods he convened.
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,7,Greater Magadha stretched from Sravasti in the north-west to Rajagrha in the south-east.
When were the ten bells cast?,1971,8,The ten bells were cast in 1971.
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,8,"The Yongle Emperor failed to build a solid relationship with Deshin Shekpa, the 5th Karmapa Lama."
