context,question,answers,category,generated_answer,bert_f1
"The first emperor of the Ming dynasty, Zhu Yuanzhang (the Hongwu Emperor), who overthrew the Yuan dynasty, renamed the city Yingtian, rebuilt it, and made it the dynastic capital in 1368. He constructed a 48 km (30 mi) long city wall around Yingtian, as well as a new Ming Palace complex, and government halls. It took 200,000 laborers 21 years to finish the project. The present-day City Wall of Nanjing was mainly built during that time and today it remains in good condition and has been well preserved. It is among the longest surviving city walls in China. The Jianwen Emperor ruled from 1398 to 1402.",Who was the first emperor of the Ming dynasty?,Zhu Yuanzhang,1,Zhu Yuanzhang,1.0
"The Valencian economy recovered during the 18th century with the rising manufacture of woven silk and ceramic tiles. The Palau de Justícia is an example of the affluence manifested in the most prosperous times of Bourbon rule (1758–1802) during the rule of Charles III. The 18th century was the age of the Enlightenment in Europe, and its humanistic ideals influenced such men as Gregory Maians and Perez Bayer in Valencia, who maintained correspondence with the leading French and German thinkers of the time. In this atmosphere of the exaltation of ideas the Economic Society of Friends of the Country (Societat Econòmica d'Amics del País) was founded in 1776; it introduced numerous improvements in agriculture and industry and promoted various cultural, civic, and economic institutions in Valencia.",Who in Valencia was influenced by the age of Enlightenment's ideas?,Gregory Maians and Perez Bayer,1,Gregory Maians and Perez Bayer,1.0
"For vertebrates, the early stages of neural development are similar across all species. As the embryo transforms from a round blob of cells into a wormlike structure, a narrow strip of ectoderm running along the midline of the back is induced to become the neural plate, the precursor of the nervous system. The neural plate folds inward to form the neural groove, and then the lips that line the groove merge to enclose the neural tube, a hollow cord of cells with a fluid-filled ventricle at the center. At the front end, the ventricles and cord swell to form three vesicles that are the precursors of the forebrain, midbrain, and hindbrain. At the next stage, the forebrain splits into two vesicles called the telencephalon (which will contain the cerebral cortex, basal ganglia, and related structures) and the diencephalon (which will contain the thalamus and hypothalamus). At about the same time, the hindbrain splits into the metencephalon (which will contain the cerebellum and pons) and the myelencephalon (which will contain the medulla oblongata). Each of these areas contains proliferative zones where neurons and glial cells are generated; the resulting cells then migrate, sometimes for long distances, to their final positions.",The vesicle that contains the cerebral cortex is which one?,telencephalon,2,telencephalon,0.9999999403953552
"There were 13 finalists this season, but two were eliminated in the first result show of the finals. A new feature introduced was the ""Judges' Save"", and Matt Giraud was saved from elimination at the top seven by the judges when he received the fewest votes. The next week, Lil Rounds and Anoop Desai were eliminated.",How many contestants were eliminated during the first week after the judges save?,two,2,Two contestants,0.893837571144104
"Beyoncé has received numerous awards. As a solo artist she has sold over 15 million albums in the US, and over 118 million records worldwide (a further 60 million additionally with Destiny's Child), making her one of the best-selling music artists of all time. The Recording Industry Association of America (RIAA) listed Beyoncé as the top certified artist of the 2000s, with a total of 64 certifications. Her songs ""Crazy in Love"", ""Single Ladies (Put a Ring on It)"", ""Halo"", and ""Irreplaceable"" are some of the best-selling singles of all time worldwide. In 2009, The Observer named her the Artist of the Decade and Billboard named her the Top Female Artist and Top Radio Songs Artist of the Decade. In 2010, Billboard named her in their ""Top 50 R&B/Hip-Hop Artists of the Past 25 Years"" list at number 15. In 2012 VH1 ranked her third on their list of the ""100 Greatest Women in Music"". Beyoncé was the first female artist to be honored with the International Artist Award at the American Music Awards. She has also received the Legend Award at the 2008 World Music Awards and the Billboard Millennium Award at the 2011 Billboard Music Awards.",How many has she sold worldwide?,118 million,3,Over 118 million records.,0.8827421069145203
"The Central Bank of Liberia is responsible for printing and maintaining the Liberian dollar, which is the primary form of currency in Liberia. Liberia is one of the world's poorest countries, with a formal employment rate of 15%. GDP per capita peaked in 1980 at US$496, when it was comparable to Egypt's (at the time). In 2011, the country's nominal GDP was US$1.154 billion, while nominal GDP per capita stood at US$297, the third-lowest in the world. Historically, the Liberian economy has depended heavily on foreign aid, foreign direct investment and exports of natural resources such as iron ore, rubber and timber.",The GDP peaked in 1980 at what amount?,US$496,3,US$496,1.0000001192092896
"In May 2014, Oklahoma Director of Corrections, Robert Patton, recommended an indefinite hold on executions in the state after the botched execution of African-American Clayton Lockett. The prisoner had to be tasered to restrain him prior to the execution, and the lethal injection missed a vein in his groin, resulting in Lockett regaining consciousness, trying to get up, and to speak, before dying of a heart attack 43 minutes later, after the attempted execution had been called off. In 2015, the state approved nitrogen asphyxiation as a method of execution.",What was Clayton Lockett's cause of death?,heart attack,4,heart attack,0.9999997615814209
"Fresh vegetables and fruits are common ingredients. Frequently used vegetables include courgettes, green peppers, okra, green beans, artichokes, carrots, tomatoes, cucumbers, lettuce and grape leaves, and pulses such as beans, broad beans, peas, black-eyed beans, chick-peas and lentils. The most common fruits and nuts are pears, apples, grapes, oranges, mandarines, nectarines, medlar, blackberries, cherry, strawberries, figs, watermelon, melon, avocado, lemon, pistachio, almond, chestnut, walnut, and hazelnut.",Can you name some common pulses used in Cyprus?,"beans, broad beans, peas, black-eyed beans",4,"Beans, broad beans, peas, black-eyed beans, chick-peas, lentils",0.9632831811904907
"Mozart's Requiem was sung at the funeral; the soloists were the soprano Jeanne-Anais Castellan, the mezzo-soprano Pauline Viardot, the tenor Alexis Dupont, and the bass Luigi Lablache; Chopin's Preludes No. 4 in E minor and No. 6 in B minor were also played. The organist at the funeral was Louis Lefébure-Wély. The funeral procession to Père Lachaise Cemetery, which included Chopin's sister Ludwika, was led by the aged Prince Adam Czartoryski. The pallbearers included Delacroix, Franchomme, and Camille Pleyel. At the graveside, the Funeral March from Chopin's Piano Sonata No. 2 was played, in Reber's instrumentation.",Who led the funeral procession?,Prince Adam Czartoryski,5,The aged Prince Adam Czartoryski,0.9356535077095032
"Bond disobeys M's order and travels to Rome to attend Sciarra's funeral. That evening he visits Sciarra's widow Lucia, who tells him about Spectre, a criminal organisation to which her husband belonged. Bond infiltrates a Spectre meeting, where he identifies the leader, Franz Oberhauser. When Oberhauser addresses Bond by name, he escapes and is pursued by Mr. Hinx, a Spectre assassin. Moneypenny informs Bond that the information he collected leads to Mr. White, former member of Quantum, a subsidiary of Spectre. Bond asks her to investigate Oberhauser, who was presumed dead years earlier.",Who is the head of Spectre?,Franz Oberhauser,5,Franz Oberhauser,1.0
