context,question,answers,topic_lda,question_class,query,token_query,token_query_full_prompt,total_token_size,Recall@k,MRR,nDCG@k,transformation_latency,retrieval_generation_latency,total_latency,generated_answer,gpt_score
"Meanwhile, Andreas Papandreou founded the Panhellenic Socialist Movement (PASOK) in response to Karamanlis's conservative New Democracy party, with the two political formations alternating in government ever since. Greece rejoined NATO in 1980. Greece became the tenth member of the European Communities (subsequently subsumed by the European Union) on 1 January 1981, ushering in a period of sustained growth. Widespread investments in industrial enterprises and heavy infrastructure, as well as funds from the European Union and growing revenues from tourism, shipping and a fast-growing service sector raised the country's standard of living to unprecedented levels. Traditionally strained relations with neighbouring Turkey improved when successive earthquakes hit both nations in 1999, leading to the lifting of the Greek veto against Turkey's bid for EU membership.",What does PASOK stand for?,Panhellenic Socialist Movement,0,ABBR,What is the acronym for PASOK?,8.0,1370.0,1456.0,1.0,1.0,1.0,1.1875808238983154,0.6388521194458008,2.431380271911621,Panhellenic Socialist Movement,1.0
"When Emperor Haile Selassie unilaterally dissolved the Eritrean parliament and annexed the country in 1962, the Eritrean Liberation Front (ELF) waged an armed struggle for independence. The ensuing Eritrean War for Independence went on for 30 years against successive Ethiopian governments until 1991, when the Eritrean People's Liberation Front (EPLF), a successor of the ELF, defeated the Ethiopian forces in Eritrea and helped a coalition of Ethiopian rebel forces take control of the Ethiopian Capital Addis Ababa.",What is the acronym for Eritrean People's Liberation Front?,EPLF,0,ABBR,What is the abbreviated form of Eritrean People's Liberation Front?,12.0,1181.0,1278.0,1.0,1.0,1.0,1.0538084506988523,0.639148473739624,2.253046989440918,EPLF,1.0
"Gorbachev's inability to alleviate any of Armenia's problems created disillusionment among the Armenians and fed a growing hunger for independence. In May 1990, the New Armenian Army (NAA) was established, serving as a defence force separate from the Soviet Red Army. Clashes soon broke out between the NAA and Soviet Internal Security Forces (MVD) troops based in Yerevan when Armenians decided to commemorate the establishment of the 1918 First Republic of Armenia. The violence resulted in the deaths of five Armenians killed in a shootout with the MVD at the railway station. Witnesses there claimed that the MVD used excessive force and that they had instigated the fighting.",What does NAA stand for?,New Armenian Army,0,ABBR,What is the meaning of NAA?,8.0,1048.0,1131.0,1.0,0.3333333333333333,0.5,0.8165702819824219,0.5394918918609619,2.0350046157836914,New Armenian Army,1.0
"In December 1943, President Roosevelt decided that Eisenhower – not Marshall – would be Supreme Allied Commander in Europe. The following month, he resumed command of ETOUSA and the following month was officially designated as the Supreme Allied Commander of the Allied Expeditionary Force (SHAEF), serving in a dual role until the end of hostilities in Europe in May 1945. He was charged in these positions with planning and carrying out the Allied assault on the coast of Normandy in June 1944 under the code name Operation Overlord, the liberation of Western Europe and the invasion of Germany.",What did SHAEF stand for?,Supreme Allied Commander of the Allied Expeditionary Force,0,ABBR,What does SHAEF represent?,7.0,1257.0,1344.0,1.0,0.1666666666666666,0.3562071871080222,1.0931551456451416,0.5342040061950684,2.2103159427642822,Supreme Headquarters Allied Expeditionary Force,0.8
"The term air defence was probably first used by Britain when Air Defence of Great Britain (ADGB) was created as a Royal Air Force command in 1925. However, arrangements in the UK were also called 'anti-aircraft', abbreviated as AA, a term that remained in general use into the 1950s. After the First World War it was sometimes prefixed by 'Light' or 'Heavy' (LAA or HAA) to classify a type of gun or unit. Nicknames for anti-aircraft guns include AA, AAA or triple-A, an abbreviation of anti-aircraft artillery; ""ack-ack"" (from the spelling alphabet used by the British for voice transmission of ""AA""); and archie (a World War I British term probably coined by Amyas Borton and believed to derive via the Royal Flying Corps from the music-hall comedian George Robey's line ""Archibald, certainly not!"").",What does ADGB stand for?,Air Defence of Great Britain,0,ABBR,What is the meaning of ADGB?,8.0,1048.0,1133.0,1.0,1.0,1.0,0.8065180778503418,0.5646874904632568,1.9590425491333008,Air Defence of Great Britain,1.0
"The majority of the citizens of the Marshall Islands are of Marshallese descent, though there are small numbers of immigrants from the United States, China, Philippines and other Pacific islands. The two official languages are Marshallese, which is a member of the Malayo-Polynesian languages, and English. Almost the entire population of the islands practises some religion, with three-quarters of the country either following the United Church of Christ – Congregational in the Marshall Islands (UCCCMI) or the Assemblies of God.",What does UCCCMI stand for?,United Church of Christ – Congregational in the Marshall Islands,0,ABBR,What is the meaning of UCCCMI?,10.0,1065.0,1164.0,0.0,0.0,0.0,1.0475645065307615,0.9800662994384766,2.574599266052246,"There is no relevant information provided about ""UCCCMI"" in the context given.",0.0
"In late 1952 Eisenhower went to Korea and discovered a military and political stalemate. Once in office, when the Chinese began a buildup in the Kaesong sanctuary, he threatened to use nuclear force if an armistice was not concluded. His earlier military reputation in Europe was effective with the Chinese. The National Security Council, the Joint Chiefs of Staff, and the Strategic Air Command (SAC) devised detailed plans for nuclear war against China. With the death of Stalin in early March 1953, Russian support for a Chinese hard-line weakened and China decided to compromise on the prisoner issue.",What was SAC an abbreviation of?,Strategic Air Command,0,ABBR,What does SAC stand for?,6.0,1239.0,1321.0,0.0,0.0,0.0,1.0406804084777832,0.5396451950073242,2.22288179397583,Southern African Customs Union,0.0
"After 1937 the Lord Mayor and the state commissioners of Hanover were members of the NSDAP (Nazi party). A large Jewish population then existed in Hanover. In October 1938, 484 Hanoverian Jews of Polish origin were expelled to Poland, including the Grynszpan family. However, Poland refused to accept them, leaving them stranded at the border with thousands of other Polish-Jewish deportees, fed only intermittently by the Polish Red Cross and Jewish welfare organisations. The Gryszpan's son Herschel Grynszpan was in Paris at the time. When he learned of what was happening, he drove to the German embassy in Paris and shot the German diplomat Eduard Ernst vom Rath, who died shortly afterwards.",What does the NSDAP stand for?,Nazi party,0,ABBR,What is the meaning of NSDAP?,8.0,972.0,1061.0,0.0,0.0,0.0,0.8599295616149902,0.7121067047119141,2.081920862197876,National Socialist German Workers' Party,0.8
"In its first century and half, the EIC used a few hundred soldiers as guards. The great expansion came after 1750, when it had 3000 regular troops. By 1763, it had 26,000; by 1778, it had 67,000. It recruited largely Indian troops, and trained them along European lines. The company, fresh from a colossal victory, and with the backing of its own private well-disciplined and experienced army, was able to assert its interests in the Carnatic region from its base at Madras and in Bengal from Calcutta, without facing any further obstacles from other colonial powers.",what is the acronym for the East india company?,EIC,0,ABBR,What does the abbreviation for the East India Company stand for?,12.0,1156.0,1245.0,1.0,0.1428571428571428,0.3333333333333333,1.004340887069702,0.6866474151611328,2.222795963287353,EIC,1.0
"By 59 BC an unofficial political alliance known as the First Triumvirate was formed between Gaius Julius Caesar, Marcus Licinius Crassus, and Gnaeus Pompeius Magnus (""Pompey the Great"") to share power and influence. In 53 BC, Crassus launched a Roman invasion of the Parthian Empire (modern Iraq and Iran). After initial successes, he marched his army deep into the desert; but here his army was cut off deep in enemy territory, surrounded and slaughtered at the Battle of Carrhae in which Crassus himself perished. The death of Crassus removed some of the balance in the Triumvirate and, consequently, Caesar and Pompey began to move apart. While Caesar was fighting in Gaul, Pompey proceeded with a legislative agenda for Rome that revealed that he was at best ambivalent towards Caesar and perhaps now covertly allied with Caesar's political enemies. In 51 BC, some Roman senators demanded that Caesar not be permitted to stand for consul unless he turned over control of his armies to the state, which would have left Caesar defenceless before his enemies. Caesar chose civil war over laying down his command and facing trial.",What did the senators request of Caesar in order for him to stand for consul?,turned over control of his armies to the state,0,ABBR,What did the senators demand from Caesar to allow him to run for consul?,15.0,1432.0,1533.0,0.0,0.0,0.0,1.053220272064209,1.193629026412964,2.811649799346924,Lay down his arms,0.4
