question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,religious freedom,0.8359919786453247
Which military historian criticized the French system as being defective?,Dallas Irvine,Frank McLynn,0.8074539303779602
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Officer Training School,0.902944803237915
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,copper leaching,0.8580306768417358
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,one million,0.9999998807907104
How do linguists view Catalan and Valencian?,as the same language,Dialectal variations,0.8056588172912598
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,nasalization,0.8376856446266174
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,piano lessons,0.9999998807907104
What group did Sciarra belong to?,Spectre,Italian Communist Party,0.8483280539512634
What kind of linguistic choices does Catalan have?,unique,unstressed vowel reduction,0.806688666343689
What organ secretes chymotrypsin?,the pancreas,pancreas,0.8687820434570312
In what area of Alaska was Camp Hollywood located?,Northwest,Not provided,0.8848313093185425
Pope Paul VI had no cap on what?,the number of cardinals generally,education,0.8327953219413757
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Rajagrha,0.9999998807907104
When were the ten bells cast?,1971,1944,0.9995932579040527
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,Deshin Shekpa,0.830856442451477
