question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,religious freedom,0.02824024297297001
Which military historian criticized the French system as being defective?,Dallas Irvine,Dallas Irvine,1.0000007152557373
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Air Force Reserve Officer Training Corps (AFROTC),0.3607312738895416
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,in-situ leach process,1.0000007152557373
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,one million,0.9999992847442627
How do linguists view Catalan and Valencian?,as the same language,As the same language,0.9942307472229004
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,extended length of frication,0.7800531983375549
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,piano lessons,0.9999992847442627
What group did Sciarra belong to?,Spectre,szlachta,-0.33340713381767273
What kind of linguistic choices does Catalan have?,unique,Romance language traits,0.21877112984657288
What organ secretes chymotrypsin?,the pancreas,pancreas,0.19488924741744995
In what area of Alaska was Camp Hollywood located?,Northwest,Northwest Alaska,0.26185548305511475
Pope Paul VI had no cap on what?,the number of cardinals generally,papal dress,-0.12039326876401901
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Rajagrha,0.9999992847442627
When were the ten bells cast?,1971,1971,0.9999985694885254
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,Deshin Shekpa,-0.0021881915163248777
