question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,The puritan colonists were searching for religious freedom.,0.8165454864501953
Which military historian criticized the French system as being defective?,Dallas Irvine,Frank McLynn,0.8074538707733154
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Officer Training School (OTS),0.8698614239692688
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,"The process being considered in Arizona that allows copper to be recovered is called ""copper leaching.""",0.8435027599334717
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,One million digital copies.,0.9090811014175415
How do linguists view Catalan and Valencian?,as the same language,"Linguists view Catalan and Valencian as two varieties of the same language, often referred to collectively as Catalan.",0.8319486975669861
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,"In Navajo, the aspiration of affricates can be seen as a phonemic feature.",0.8743400573730469
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,People sought piano lessons from Chopin in London.,0.8638595342636108
What group did Sciarra belong to?,Spectre,The context provided does not mention Sciarra or any related group.,0.8094426989555359
What kind of linguistic choices does Catalan have?,unique,"Catalan has vowel reduction, maintaining distinct vowels, and incorporates Arabic loanwords.",0.8284489512443542
What organ secretes chymotrypsin?,the pancreas,Pancreas,0.8824864029884338
In what area of Alaska was Camp Hollywood located?,Northwest,The provided context does not contain information about Camp Hollywood or its location in Alaska.,0.8040111660957336
Pope Paul VI had no cap on what?,the number of cardinals generally,Pope Paul VI had no cap on his ambitions for ecumenism.,0.8369647860527039
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Rajagrha,0.9999998807907104
When were the ten bells cast?,1971,The ten bells were cast in 1887.,0.8260859847068787
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,"The fifth Karmapa, Deshin Shekpa.",0.8986170291900635
