question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,fresh water,0.9999997615814209
Which military historian criticized the French system as being defective?,Dallas Irvine,Dallas Irvine,1.0000001192092896
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Air Force Reserve Officer Training Corps (AFROTC),0.8968991041183472
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,in-situ leach process,1.0000001192092896
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,one million,0.9999998807907104
How do linguists view Catalan and Valencian?,as the same language,As the same language,0.9990272521972656
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,extended length of frication,0.9626237154006958
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,piano lessons,0.9999998807907104
What group did Sciarra belong to?,Spectre,szlachta,0.7693003416061401
What kind of linguistic choices does Catalan have?,unique,dialectal choices,0.8409257531166077
What organ secretes chymotrypsin?,the pancreas,pancreas,0.8687820434570312
In what area of Alaska was Camp Hollywood located?,Northwest,Northwest Alaska,0.8810710310935974
Pope Paul VI had no cap on what?,the number of cardinals generally,papal authority,0.8265560269355774
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Rajagrha,0.9999998807907104
When were the ten bells cast?,1971,1971,0.9999997615814209
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,fifth Karmapa,0.9999999403953552
