question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,religious freedom,0.02824024297297001
Which military historian criticized the French system as being defective?,Dallas Irvine,Frank McLynn,-0.14084981381893158
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Officer Training School,0.42494073510169983
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,copper leaching,0.1542869210243225
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,one million,0.9999992847442627
How do linguists view Catalan and Valencian?,as the same language,Dialectal variations,-0.1527358442544937
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,nasalization,0.01757016032934189
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,piano lessons,0.9999992847442627
What group did Sciarra belong to?,Spectre,the Italian Communist Party,0.02739795297384262
What kind of linguistic choices does Catalan have?,unique,unstressed vowel reduction,-0.1453840732574463
What organ secretes chymotrypsin?,the pancreas,pancreas,0.19488924741744995
In what area of Alaska was Camp Hollywood located?,Northwest,Not mentioned,0.2339475452899933
Pope Paul VI had no cap on what?,the number of cardinals generally,authority,-0.02735910378396511
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Rajagrha,0.9999992847442627
When were the ten bells cast?,1971,1944,0.9975900053977966
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,Deshin Shekpa,-0.0021885447204113007
