question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,Religious freedom,0.8338821530342102
Which military historian criticized the French system as being defective?,Dallas Irvine,Frank McLynn,0.8074538707733154
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,ROTC,0.8072943091392517
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,Copper recovery,0.8334090113639832
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,One million,0.9992613196372986
How do linguists view Catalan and Valencian?,as the same language,Dialectal variations,0.8056588172912598
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,Aspirated,0.8261308073997498
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,Piano lessons,0.9996839165687561
What group did Sciarra belong to?,Spectre,Japanese 6th Fleet Forces Service,0.8226320147514343
What kind of linguistic choices does Catalan have?,unique,Not specified,0.8621978759765625
What organ secretes chymotrypsin?,the pancreas,Pancreas,0.8824864625930786
In what area of Alaska was Camp Hollywood located?,Northwest,Not provided,0.8848313093185425
Pope Paul VI had no cap on what?,the number of cardinals generally,Authority,0.8309886455535889
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Vaishali,0.7676004767417908
When were the ten bells cast?,1971,2008,0.9997506737709045
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,Karmapa,0.9474692940711975
