context,question,answers,topic_lda,generated_answer,bert_f1
"During the later Roman Empire, the principal military developments were attempts to create an effective cavalry force as well as the continued development of highly specialised types of troops. The creation of heavily armoured cataphract-type soldiers as cavalry was an important feature of the 5th-century Roman military. The various invading tribes had differing emphasis on types of soldiers—ranging from the primarily infantry Anglo-Saxon invaders of Britain to the Vandals and Visigoths, who had a high proportion of cavalry in their armies. During the early invasion period, the stirrup had not been introduced into warfare, which limited the usefulness of cavalry as shock troops because it was not possible to put the full force of the horse and rider behind blows struck by the rider. The greatest change in military affairs during the invasion period was the adoption of the Hunnic composite bow in place of the earlier, and weaker, Scythian composite bow. Another development was the increasing use of longswords and the progressive replacement of scale armour by mail armour and lamellar armour.",What weapon replaced the Scythian composite bow?,Hunnic composite bow,0,Hunnic composite bow,0.9999992847442627
"The first military unit of the Ottoman State was an army that was organized by Osman I from the tribesmen inhabiting the hills of western Anatolia in the late 13th century. The military system became an intricate organization with the advance of the Empire. The Ottoman military was a complex system of recruiting and fief-holding. The main corps of the Ottoman Army included Janissary, Sipahi, Akıncı and Mehterân. The Ottoman army was once among the most advanced fighting forces in the world, being one of the first to use muskets and cannons. The Ottoman Turks began using falconets, which were short but wide cannons, during the Siege of Constantinople. The Ottoman cavalry depended on high speed and mobility rather than heavy armour, using bows and short swords on fast Turkoman and Arabian horses (progenitors of the Thoroughbred racing horse), and often applied tactics similar to those of the Mongol Empire, such as pretending to retreat while surrounding the enemy forces inside a crescent-shaped formation and then making the real attack. The decline in the army's performance became clear from the mid-17th century and after the Great Turkish War. The 18th century saw some limited success against Venice, but in the north the European-style Russian armies forced the Ottomans to concede land.",The Ottoman army was among the first to use what two pieces of weapons technology?,muskets and cannons,0,muskets and cannons,0.9999992847442627
"The second Diadochi war began following the death of Antipater in 319 BC. Passing over his own son, Cassander, Antipater had declared Polyperchon his successor as Regent. Cassander rose in revolt against Polyperchon (who was joined by Eumenes) and was supported by Antigonus, Lysimachus and Ptolemy. In 317, Cassander invaded Macedonia, attaining control of Macedon, sentencing Olympias to death and capturing the boy king Alexander IV, and his mother. In Asia, Eumenes was betrayed by his own men after years of campaign and was given up to Antigonus who had him executed.",When did Cassander invade Macedonia?,317,0,298 BCE,0.0004566384304780513
"In nouns and adjectives, maintenance of /n/ of medieval plurals in proparoxytone words.
E.g. hòmens 'men', jóvens 'youth'. In nouns and adjectives, loss of /n/ of medieval plurals in proparoxytone words.
E.g. homes 'men', joves 'youth'.",What letter is lost in some words?,/n/,0,s,-0.08804645389318466
"The United States has become essentially a two-party system. Since a conservative (such as the Republican Party) and liberal (such as the Democratic Party) party has usually been the status quo within American politics. The first parties were called Federalist and Republican, followed by a brief period of Republican dominance before a split occurred between National Republicans and Democratic Republicans. The former became the Whig Party and the latter became the Democratic Party. The Whigs survived only for two decades before they split over the spread of slavery, those opposed becoming members of the new Republican Party, as did anti-slavery members of the Democratic Party. Third parties (such as the Libertarian Party) often receive little support and are very rarely the victors in elections. Despite this, there have been several examples of third parties siphoning votes from major parties that were expected to win (such as Theodore Roosevelt in the election of 1912 and George Wallace in the election of 1968). As third party movements have learned, the Electoral College's requirement of a nationally distributed majority makes it difficult for third parties to succeed. Thus, such parties rarely win many electoral votes, although their popular support within a state may tip it toward one party or the other. Wallace had weak support outside the South. More generally, parties with a broad base of support across regions or among economic and other interest groups, have a great chance of winning the necessary plurality in the U.S.'s largely single-member district, winner-take-all elections. The tremendous land area and large population of the country are formidable challenges to political parties with a narrow appeal.",Which party was anti-slavery?,Democratic Party,0,Republican Party,0.9881475567817688
"Although Albertus Magnus did much to instill mysticism in the Order of Preachers, it is a concept that reaches back to the Hebrew Bible. In the tradition of Holy Writ, the impossibility of coming face to face with God is a recurring motif, thus the commandment against graven images (Exodus 20.4-5). As time passed, Jewish and early Christian writings presented the idea of 'unknowing,' where God's presence was enveloped in a dark cloud. These images arose out of a confusing mass of ambiguous and ambivalent statements regarding the nature of God and man's relationship to Him.",Who wanted to put mysticism into the Dominican Order?,Albertus Magnus,0,Early members,-0.05284186080098152
"Christianity is the predominant religion of Switzerland (about 71% of resident population and 75% of Swiss citizens), divided between the Catholic Church (38.21% of the population), the Swiss Reformed Church (26.93%), further Protestant churches (2.89%) and other Christian denominations (2.79%). There has been a recent rise in Evangelicalism. Immigration has brought Islam (4.95%) and Eastern Orthodoxy (around 2%) as sizeable minority religions. According to a 2015 poll by Gallup International, 12% of Swiss people self-identified as ""convinced atheists.""",What percentage of the Christian population is Catholic?,38.21%,0,50%,0.44940850138664246
"The Latin word templum originally referred not to the temple building itself, but to a sacred space surveyed and plotted ritually through augury: ""The architecture of the ancient Romans was, from first to last, an art of shaping space around ritual."" The Roman architect Vitruvius always uses the word templum to refer to this sacred precinct, and the more common Latin words aedes, delubrum, or fanum for a temple or shrine as a building. The ruins of temples are among the most visible monuments of ancient Roman culture.",What common Latin words were used to mean a shrine or building?,"aedes, delubrum, or fanum",0,"aedes, delubrum, fanum",0.7996480464935303
"Roman camps followed a standard pattern for defense and religious ritual; in effect they were Rome in miniature. The commander's headquarters stood at the centre; he took the auspices on a dais in front. A small building behind housed the legionary standards, the divine images used in religious rites and in the Imperial era, the image of the ruling emperor. In one camp, this shrine is even called Capitolium. The most important camp-offering appears to have been the suovetaurilia performed before a major, set battle. A ram, a boar and a bull were ritually garlanded, led around the outer perimeter of the camp (a lustratio exercitus) and in through a gate, then sacrificed: Trajan's column shows three such events from his Dacian wars. The perimeter procession and sacrifice suggest the entire camp as a divine templum; all within are purified and protected.",How were Roman camps laid out?,standard pattern,0,Standard pattern,0.9900602698326111
Lee and Guenther have rejected most of the arguments put forward by Wilmsen. Doron Shultziner and others have argued that we can learn a lot about the life-styles of prehistoric hunter-gatherers from studies of contemporary hunter-gatherers—especially their impressive levels of egalitarianism.,Who has rejected Wilmsen's arguments?,Lee and Guenther,0,Lee and Guenther,1.0000014305114746
"Complex serological techniques have been developed into what are known as Immunoassays. Immunoassays can use the basic antibody – antigen binding as the basis to produce an electro - magnetic or particle radiation signal, which can be detected by some form of instrumentation. Signal of unknowns can be compared to that of standards allowing quantitation of the target antigen. To aid in the diagnosis of infectious diseases, immunoassays can detect or measure antigens from either infectious agents or proteins generated by an infected organism in response to a foreign agent. For example, immunoassay A may detect the presence of a surface protein from a virus particle. Immunoassay B on the other hand may detect or measure antibodies produced by an organism's immune system that are made to neutralize and allow the destruction of the virus.",What are immunoassays?,Complex serological techniques,1,Serological techniques,0.5199854373931885
"In 1978, the band released Jazz, which reached number two in the UK and number six on the Billboard 200 in the US. The album included the hit singles ""Fat Bottomed Girls"" and ""Bicycle Race"" on a double-sided record. Queen rented Wimbledon Stadium for a day to shoot the video, with 65 naked female models hired to stage a nude bicycle race. Reviews of the album in recent years have been more favourable. Another notable track from Jazz, ""Don't Stop Me Now"", provides another example of the band's exuberant vocal harmonies.",What number did Queen's Jazz reach on UK charts?,two,1,number two,0.31119996309280396
