question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,religious freedom,0.8359920382499695
Which military historian criticized the French system as being defective?,Dallas Irvine,Frank McLynn,0.8074539303779602
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Officer Training School (OTS),0.8698614835739136
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,"The process being considered in Arizona that allows copper to be recovered is called ""copper leaching.""",0.8435027599334717
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,one million,1.0
How do linguists view Catalan and Valencian?,as the same language,Linguists view Catalan and Valencian as two varieties of the same language.,0.8474459052085876
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,a phonemic contrast,0.8690513372421265
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,People sought piano lessons and private recitals from Chopin in London.,0.8503239750862122
What group did Sciarra belong to?,Spectre,The context does not provide information about a group that Sciarra belonged to.,0.8136969804763794
What kind of linguistic choices does Catalan have?,unique,The provided context does not contain information regarding the linguistic choices of Catalan.,0.804912805557251
What organ secretes chymotrypsin?,the pancreas,pancreas,0.8687821626663208
In what area of Alaska was Camp Hollywood located?,Northwest,The provided context does not contain information about Camp Hollywood or its location in Alaska.,0.8040110468864441
Pope Paul VI had no cap on what?,the number of cardinals generally,Pope Paul VI had no cap on his ambitions for ecumenism.,0.8369648456573486
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Vaishali,0.767600417137146
When were the ten bells cast?,1971,The context provided does not contain information regarding the casting of the ten bells.,0.810268759727478
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,"Deshin Shekpa, the 5th Karmapa Lama",0.8446703553199768
