question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,The puritan colonists were searching for a better theological community.,0.8171972036361694
Which military historian criticized the French system as being defective?,Dallas Irvine,Dallas Irvine,1.0000001192092896
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Air Force Reserve Officer Training Corps (AFROTC) program,0.8946161270141602
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,in-situ leach process,1.000000238418579
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,The provided context does not specify the number of digital copies of Beyoncé's fifth album sold in six days.,0.8255468606948853
How do linguists view Catalan and Valencian?,as the same language,Linguists view Catalan and Valencian as the same language.,0.8607075214385986
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,an extended length of the frication,1.0
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,People sought piano lessons and private recitals from Chopin in London.,0.8503239750862122
What group did Sciarra belong to?,Spectre,Sciarra belonged to the Sclaveni.,0.7914265990257263
What kind of linguistic choices does Catalan have?,unique,marked differences,0.8832526206970215
What organ secretes chymotrypsin?,the pancreas,Pancreas,0.8824864625930786
In what area of Alaska was Camp Hollywood located?,Northwest,Northwest Alaska,0.8810710310935974
Pope Paul VI had no cap on what?,the number of cardinals generally,birth control,0.8449439406394958
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Kalinga,0.7998560070991516
When were the ten bells cast?,1971,1971,0.9999997615814209
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,the fourth Karmapa,0.9406012892723083
