question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,Fresh water,0.930500328540802
Which military historian criticized the French system as being defective?,Dallas Irvine,Dallas Irvine,1.0000001192092896
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Air Force Reserve Officer Training Corps (AFROTC) program,0.8946161270141602
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,in-situ leach process,1.000000238418579
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,one million digital copies,0.9060075879096985
How do linguists view Catalan and Valencian?,as the same language,Linguists view Catalan and Valencian as the same language.,0.8607075214385986
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,an extended length of the frication,1.0
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,People sought piano lessons from Chopin in London.,0.8638595938682556
What group did Sciarra belong to?,Spectre,The szlachta,0.8177962303161621
What kind of linguistic choices does Catalan have?,unique,"Literary Catalan allows the use of words from different dialects, with a tendency to favor words of Northern dialects.",0.8144736886024475
What organ secretes chymotrypsin?,the pancreas,pancreas,0.8687821626663208
In what area of Alaska was Camp Hollywood located?,Northwest,Northwest Alaska,0.8810710310935974
Pope Paul VI had no cap on what?,the number of cardinals generally,Pope Paul VI had no cap on the number of foreign embassies accredited to the Vatican.,0.8497316837310791
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Rajagrha,0.9999999403953552
When were the ten bells cast?,1971,1971,0.9999997615814209
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,fifth Karmapa,0.9999998807907104
