question,answers,category,generated_answer
What were the puritan colonists searching for when they came to Boston?,fresh water,1,The Puritan colonists were searching for fresh water and a better theological community with a government more closely linked to the church.
Which military historian criticized the French system as being defective?,Dallas Irvine,1,Dallas Irvine
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,2,Air Force Reserve Officer Training Corps (AFROTC) program.
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,2,In-situ leach process
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,3,One million digital copies.
How do linguists view Catalan and Valencian?,as the same language,3,"Linguists view Catalan and Valencian as the same language, with the Valencian Academy of Language declaring their linguistic unity."
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,4,An extended length of the frication.
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,4,People sought piano lessons from Chopin in London.
What group did Sciarra belong to?,Spectre,5,The context provided does not mention a specific individual named Sciarra or the group they belonged to.
What kind of linguistic choices does Catalan have?,unique,5,Catalan has many unique lexical choices.
What organ secretes chymotrypsin?,the pancreas,6,Pancreas
In what area of Alaska was Camp Hollywood located?,Northwest,6,Northwest Alaska
Pope Paul VI had no cap on what?,the number of cardinals generally,7,"Pope Paul VI had no cap on dialogue with the world, other Christians, other religions, and atheists."
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,7,Rajagrha
When were the ten bells cast?,1971,8,The ten bells were cast in 1971.
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,8,"Deshin Shekpa, the 5th Karmapa Lama."
