question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,religious freedom,0.8359920382499695
Which military historian criticized the French system as being defective?,Dallas Irvine,Frank McLynn,0.8074539303779602
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Officer Training School (OTS),0.8698614835739136
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,"The process being considered in Arizona that allows copper to be recovered is called ""hydrometallurgy.""",0.8272501230239868
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,one million digital copies,0.9060075879096985
How do linguists view Catalan and Valencian?,as the same language,Linguists view Catalan and Valencian as two varieties of the same language.,0.8474459052085876
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,a distinctive feature,0.8622523546218872
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,People sought piano lessons from Chopin in London.,0.8638595938682556
What group did Sciarra belong to?,Spectre,The context does not provide information regarding a group that Sciarra belonged to.,0.8142669796943665
What kind of linguistic choices does Catalan have?,unique,Catalan has linguistic choices that involve unstressed vowel reduction and the presence of Arabic loanwords.,0.8262959122657776
What organ secretes chymotrypsin?,the pancreas,Pancreas,0.8824864625930786
In what area of Alaska was Camp Hollywood located?,Northwest,The provided context does not contain information regarding Camp Hollywood or its location in Alaska.,0.8047364950180054
Pope Paul VI had no cap on what?,the number of cardinals generally,Pope Paul VI had no cap on the number of cardinals he could create.,0.8623111248016357
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Rajagrha,0.9999999403953552
When were the ten bells cast?,1971,The ten bells were cast in 1885.,0.8269864916801453
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,fifth Karmapa,0.9999998807907104
