question,answers,category,generated_answer
What were the puritan colonists searching for when they came to Boston?,fresh water,1,The Puritan colonists were searching for the ability to worship freely and establish a theological community with a government more closely linked to the church than the one they left in Massachusetts.
Which military historian criticized the French system as being defective?,Dallas Irvine,1,Military historian Dallas Irvine criticized the French system as being defective.
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,2,Another program that allows officers to become commissioned in the USAF is the Air Force Reserve Officer Training Corps (AFROTC).
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,2,The process being considered in Arizona that allows copper to be recovered is the in-situ leach process.
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,3,Beyoncé sold one million digital copies of her fifth album in six days.
How do linguists view Catalan and Valencian?,as the same language,3,"Linguists view Catalan and Valencian as the same language, recognizing their linguistic unity, as affirmed by the Valencian Academy of Language (AVL)."
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,4,"In Navajo, the aspiration of affricates can be seen as an extended length of the frication."
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,4,"In addition to hearing him play, people sought piano lessons from Chopin in London, for which he charged a high fee of one guinea (£1.05) per hour, as well as private recitals for a fee of 20 guineas."
What group did Sciarra belong to?,Spectre,5,"The context provided does not mention a character named Sciarra or any specific group associated with that name. Therefore, based on the given information, it is not possible to determine what group Sciarra belonged to."
What kind of linguistic choices does Catalan have?,unique,5,"Catalan has a range of linguistic choices characterized by complex verbal inflection, including suffixation, vowel alternances, infixation, and suppletion, although these are less productive than in Spanish and primarily apply to irregular verbs. Additionally, it exhibits marked differences in vocabulary, pronunciation, and grammar compared to Iberian Romance languages, showing closer affinities with Occitan and Gallo-Romance languages."
What organ secretes chymotrypsin?,the pancreas,6,The pancreas secretes chymotrypsin.
In what area of Alaska was Camp Hollywood located?,Northwest,6,Camp Hollywood was located in Northwest Alaska.
Pope Paul VI had no cap on what?,the number of cardinals generally,7,"Pope Paul VI had no cap on the dialogue with the world, including interactions with other Christians, other religions, and atheists."
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,7,Greater Magadha stretched from Sravasti in the north-west to Rajagrha in the south-east.
When were the ten bells cast?,1971,8,The ten bells were cast in 1971.
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,8,"The Yongle Emperor failed to build a solid relationship with Deshin Shekpa, the 5th Karmapa Lama."
