question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,The Puritan colonists were searching for a better theological community with a government more closely linked to the church.,0.8066424131393433
Which military historian criticized the French system as being defective?,Dallas Irvine,Dallas Irvine,1.0000001192092896
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Air Force Reserve Officer Training Corps (AFROTC),0.8968991041183472
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,in-situ leach process,1.000000238418579
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,one million,1.0
How do linguists view Catalan and Valencian?,as the same language,Linguists view Catalan and Valencian as the same language.,0.8607075214385986
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,an extended length of the frication,1.0
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,People sought piano lessons and private recitals from Chopin in London.,0.8503239750862122
What group did Sciarra belong to?,Spectre,szlachta,0.7693002223968506
What kind of linguistic choices does Catalan have?,unique,"Catalan has marked differences in vocabulary, pronunciation, and grammar compared to Ibero-Romance languages.",0.8141753673553467
What organ secretes chymotrypsin?,the pancreas,Pancreas,0.8824864625930786
In what area of Alaska was Camp Hollywood located?,Northwest,Northwest Alaska,0.8810710310935974
Pope Paul VI had no cap on what?,the number of cardinals generally,Pope Paul VI had no cap on the number of bishops from around the world who could be integrated into the government of the Church.,0.850228488445282
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Kalinga,0.7998560070991516
When were the ten bells cast?,1971,1971,0.9999997615814209
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,"Deshin Shekpa, the 5th Karmapa Lama",0.8446703553199768
