question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,The puritan colonists were searching for religious freedom when they came to Boston.,0.8081809878349304
Which military historian criticized the French system as being defective?,Dallas Irvine,Frank McLynn,0.8074538707733154
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Officer Training School (OTS),0.8698614239692688
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,"The process being considered in Arizona that allows copper to be recovered is called ""in-situ leaching.""",0.8735243678092957
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,One million digital copies.,0.9090811014175415
How do linguists view Catalan and Valencian?,as the same language,"Linguists view Catalan and Valencian as two varieties of the same language, often referred to collectively as Catalan-Valencian.",0.8247781991958618
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,"In Navajo, the aspiration of affricates can be seen as a phonemic distinction.",0.8666114211082458
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,People sought piano lessons from Chopin in London.,0.8638595342636108
What group did Sciarra belong to?,Spectre,The provided context does not contain any information about a person named Sciarra or any group they may belong to.,0.7876364588737488
What kind of linguistic choices does Catalan have?,unique,"Catalan has unstressed vowel reduction, with three reduced vowel sounds: /a e ɛ/ > [ə], /o ɔ u/ > [u], and /i/ remaining distinct.",0.7848246097564697
What organ secretes chymotrypsin?,the pancreas,Pancreas,0.8824864029884338
In what area of Alaska was Camp Hollywood located?,Northwest,The provided context does not contain information about Camp Hollywood or its location in Alaska.,0.8040111660957336
Pope Paul VI had no cap on what?,the number of cardinals generally,Pope Paul VI had no cap on his authority or influence.,0.8364515900611877
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Rajagrha,0.9999998807907104
When were the ten bells cast?,1971,The ten bells were cast in 1888.,0.8295646905899048
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,"The fifth Karmapa, Deshin Shekpa.",0.8986170291900635
