question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,theological community,0.8209433555603027
Which military historian criticized the French system as being defective?,Dallas Irvine,Dallas Irvine,1.0000001192092896
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Air Force Reserve Officer Training Corps (AFROTC),0.8968991041183472
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,in-situ leach process,1.000000238418579
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,,0.0
How do linguists view Catalan and Valencian?,as the same language,As the same language,0.9990272521972656
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,extended length of frication,0.962623655796051
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,piano lessons,0.9999997615814209
What group did Sciarra belong to?,Spectre,Sclaveni,0.78813636302948
What kind of linguistic choices does Catalan have?,unique,marked differences,0.8832526206970215
What organ secretes chymotrypsin?,the pancreas,pancreas,0.8687821626663208
In what area of Alaska was Camp Hollywood located?,Northwest,Northwest Alaska,0.8810710310935974
Pope Paul VI had no cap on what?,the number of cardinals generally,birth control,0.8449439406394958
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Kalinga,0.7998560070991516
When were the ten bells cast?,1971,1971,0.9999997615814209
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,fourth Karmapa,0.9993609189987183
