question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,The puritan colonists were searching for religious freedom when they came to Boston.,0.8081808686256409
Which military historian criticized the French system as being defective?,Dallas Irvine,The military historian who criticized the French system as being defective is not mentioned in the provided context.,0.8135359883308411
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Officer Training School (OTS),0.8698614835739136
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,"The process being considered in Arizona that allows copper to be recovered is called ""copper leaching.""",0.8435027599334717
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,The provided context does not contain information about the sales of Beyoncé's fifth album.,0.8247920870780945
How do linguists view Catalan and Valencian?,as the same language,Linguists view Catalan and Valencian as two varieties of the same language.,0.8474459052085876
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,The aspiration of affricates in Navajo can be seen as a phonemic distinction.,0.8710023760795593
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,People sought piano lessons and private recitals from Chopin in London.,0.8503239750862122
What group did Sciarra belong to?,Spectre,The context does not provide information about Sciarra or the group they belong to.,0.8054952025413513
What kind of linguistic choices does Catalan have?,unique,The context provided does not contain information about the linguistic choices of Catalan.,0.8087886571884155
What organ secretes chymotrypsin?,the pancreas,The pancreas.,0.9854958653450012
In what area of Alaska was Camp Hollywood located?,Northwest,The context provided does not contain information about Camp Hollywood or its location in Alaska.,0.8041877746582031
Pope Paul VI had no cap on what?,the number of cardinals generally,Pope Paul VI had no cap on the number of cardinals he could create.,0.8623111248016357
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Vaishali,0.767600417137146
When were the ten bells cast?,1971,The ten bells were cast in 1881.,0.8267608284950256
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,The fourth Karmapa Lama.,0.9218984842300415
