question,answers,generated_answer,bert_f1
What were the puritan colonists searching for when they came to Boston?,fresh water,religious freedom,0.8359920382499695
Which military historian criticized the French system as being defective?,Dallas Irvine,Frank McLynn,0.8074539303779602
What is another program that allows officers to become commissioned in the USAF?,Air Force Officer Training School,Officer Training School (OTS),0.8698614835739136
What is the name of the process being considered in Arizona that allows copper to be recovered?,in-situ leach process,"The process being considered in Arizona that allows copper to be recovered is called ""copper leaching.""",0.8435027599334717
How many digital copies of her fifth album did Beyoncé sell in six days?,one million,one million,1.0
How do linguists view Catalan and Valencian?,as the same language,Linguists view Catalan and Valencian as two varieties of the same language.,0.8474459052085876
"In Navajo, the aspiration of affricates can be seen as what?",an extended length of the frication,a phonemic distinction,0.8614898920059204
"In addition to hearing him play, what else did people seek from Chopin in London?",piano lessons,People sought piano lessons from Chopin in London.,0.8638595938682556
What group did Sciarra belong to?,Spectre,The group Sciarra belonged to is not specified in the provided context.,0.819321870803833
What kind of linguistic choices does Catalan have?,unique,Linguistic reduction of unstressed vowels.,0.8223655223846436
What organ secretes chymotrypsin?,the pancreas,Pancreas,0.8824864625930786
In what area of Alaska was Camp Hollywood located?,Northwest,The provided context does not contain information about Camp Hollywood or its location in Alaska.,0.8040110468864441
Pope Paul VI had no cap on what?,the number of cardinals generally,Pope Paul VI had no cap on his ambitions for the Catholic Church.,0.8367383480072021
Greater magadha stretched from Sravasti in the north-west to what area in the south-east?,Rajagrha,Rajagrha,0.9999999403953552
When were the ten bells cast?,1971,The ten bells were cast in 1800.,0.8306653499603271
Who did Yongle Emperor fail to build a solid relationship with?,fifth Karmapa,"Deshin Shekpa, the 5th Karmapa Lama",0.8446703553199768
